Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
Influenza,Fever,Cough,Sore throat,Muscle aches,Fatigue,
Common Cold,Sneezing,Runny nose,Congestion,Sore throat,Cough,
Chickenpox,Itchy rash,Fever,Fatigue,Loss of appetite,Headache,
Diabetes,Increased thirst,Frequent urination,Fatigue,Blurred vision,Slow healing wounds,
Asthma,Shortness of breath,Wheezing,Chest tightness,Cough,Difficulty breathing,
Hypertension,Headache,Shortness of breath,Nosebleeds,Chest pain,Fatigue,
Bronchitis,Cough,Mucus,Fatigue,Shortness of breath,Chest discomfort,
Pneumonia,Chest pain,Cough with phlegm,Fever,Chills,Fatigue,
Migraine,Severe headache,Nausea,Sensitivity to light,Sensitivity to sound,Vision disturbances,
Tuberculosis,Persistent cough,Chest pain,Weight loss,Fatigue,Night sweats,
Malaria,Fever,Chills,Sweating,Headache,Nausea,Muscle pain
Dengue Fever,High fever,Severe headache,Pain behind eyes,Joint pain,Rash,bleeding
COVID-19,Fever,Dry cough,Tiredness,Loss of taste,Difficulty breathing,Chest pain
HIV/AIDS,Fever,Weight loss,Fatigue,Swollen lymph nodes,Recurrent infections,
Hepatitis B,Fatigue,Fever,Jaundice,Loss of appetite,Abdominal pain,
Cholera,Severe diarrhea,Dehydration,Vomiting,Rapid heart rate,Muscle cramps,
Typhoid Fever,High fever,Weakness,Stomach pain,Headache,Loss of appetite,
Meningitis,Severe headache,Fever,Stiff neck,Sensitivity to light,Nausea,
Ebola,Fever,Severe headache,Muscle pain,Vomiting,Unexplained bleeding,
Zika Virus,Fever,Rash,Joint pain,Red eyes,Headache,
Measles,Fever,Cough,Runny nose,Red eyes,Rash,
Mumps,Swollen glands,Fever,Headache,Muscle aches,Fatigue,
Rubella,Mild fever,Rash,Swollen lymph nodes,Runny nose,Red eyes,
Polio,Fever,Sore throat,Headache,Vomiting,Fatigue,Muscle pain
Rabies,Fever,Headache,Nausea,Agitation,Difficulty swallowing,
Yellow Fever,Fever,Chills,Headache,Nausea,Jaundice,Muscle pain
Leprosy,Skin sores,Nerve damage,Muscle weakness,Loss of sensation,Eye problems,
Plague,Fever,Chills,Headache,Swollen lymph nodes,Fatigue,
Anthrax,Fever,Chills,Sore throat,Cough,Difficulty breathing,
SARS,Fever,Dry cough,Shortness of breath,Headache,Body aches,
MERS,Fever,Cough,Shortness of breath,Chest pain,Muscle pain,
Chikungunya,Fever,Joint pain,Headache,Muscle pain,Rash,
Hantavirus,Fever,Fatigue,Muscle aches,Dizziness,Chills,
Lassa Fever,Fever,Weakness,Headache,Sore throat,Muscle pain,
Avian Influenza,Fever,Cough,Sore throat,Muscle aches,Eye infection,
Swine Flu,Fever,Cough,Sore throat,Body aches,Fatigue,
Lyme Disease,Fever,Chills,Headache,Fatigue,Joint pain,
Rocky Mountain Spotted Fever,Fever,Headache,Rash,Nausea,Muscle pain,
Norovirus,Nausea,Vomiting,Diarrhea,Stomach pain,Fever,
Rotavirus,Fever,Diarrhea,Vomiting,Dehydration,Stomach pain,
E. coli Infection,Diarrhea,Stomach cramps,Nausea,Vomiting,Fever,
Salmonella Infection,Diarrhea,Fever,Stomach cramps,Nausea,Vomiting,
Shigella Infection,Diarrhea,Fever,Stomach cramps,Nausea,Bloody stools,
Botulism,Difficulty swallowing,Muscle weakness,Double vision,Drooping eyelids,Slurred speech,
Tetanus,Jaw cramping,Muscle spasms,Stiffness,Trouble swallowing,Seizures,
Diphtheria,Sore throat,Difficulty breathing,Fever,Weakness,Swollen glands,
Pertussis,Severe cough,Runny nose,Fever,Fatigue,Vomiting,
Scarlet Fever,Red rash,Fever,Sore throat,Red tongue,Headache,
Rheumatic Fever,Fever,Painful joints,Red rash,Shortness of breath,Chest pain,
